YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
73 12 01 01 149 01.5 99.0 99.00 99.00 99.00 999 1031.0  15.5 999.0  05.4 99.0
73 12 01 02 145 00.3 99.0 99.00 99.00 99.00 999 1031.0  13.9 999.0  07.3 99.0
73 12 01 03 315 01.4 99.0 99.00 99.00 99.00 999 1031.0  11.4 999.0  06.5 99.0
73 12 01 04 312 01.6 99.0 99.00 99.00 99.00 999 1031.0  10.4 999.0  06.0 99.0
73 12 01 05 315 02.2 99.0 99.00 99.00 99.00 999 1031.0  09.5 999.0  06.2 99.0
73 12 01 06 314 02.4 99.0 99.00 99.00 99.00 999 1031.0  09.2 999.0  05.8 99.0
73 12 01 07 312 02.1 99.0 99.00 99.00 99.00 999 1031.0  08.7 999.0  05.9 99.0
73 12 01 08 305 03.8 99.0 99.00 99.00 99.00 999 1031.0  08.8 999.0  05.2 99.0
73 12 01 09 307 02.7 99.0 99.00 99.00 99.00 999 1030.0  08.5 999.0  05.2 99.0
73 12 01 10 316 02.4 99.0 99.00 99.00 99.00 999 1030.0  08.3 999.0  05.5 99.0
73 12 01 11 316 02.2 99.0 99.00 99.00 99.00 999 1030.0  07.7 999.0  05.2 99.0
73 12 01 12 316 03.0 99.0 99.00 99.00 99.00 999 1031.0  07.4 999.0  04.8 99.0
73 12 01 13 319 03.4 99.0 99.00 99.00 99.00 999 1031.0  07.6 999.0  04.6 99.0
73 12 01 14 336 03.4 99.0 99.00 99.00 99.00 999 1031.0  09.6 999.0  04.3 99.0
73 12 01 15 002 02.2 99.0 99.00 99.00 99.00 999 1032.0  14.7 999.0  06.9 99.0
73 12 01 16 016 02.8 99.0 99.00 99.00 99.00 999 1032.0  16.8 999.0  08.0 99.0
73 12 01 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 01 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 01 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 01 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 01 21 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 01 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 01 23 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 02 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 02 01 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 02 02 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 02 03 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
73 12 02 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
